,MLII,V1,symbol
0,-0.345,-0.16,
1,-0.345,-0.16,
2,-0.345,-0.16,
3,-0.345,-0.16,
4,-0.345,-0.16,
5,-0.345,-0.16,
6,-0.345,-0.16,
7,-0.345,-0.16,+
8,-0.33,-0.15,
9,-0.32,-0.145,
10,-0.32,-0.17,
11,-0.325,-0.18,
12,-0.33,-0.17,
13,-0.325,-0.15,
14,-0.315,-0.16,
15,-0.305,-0.17,
16,-0.3,-0.185,
17,-0.315,-0.195,
18,-0.32,-0.185,
19,-0.315,-0.185,
20,-0.3,-0.175,
21,-0.29,-0.2,
22,-0.29,-0.19,
23,-0.295,-0.205,
24,-0.29,-0.195,
25,-0.295,-0.175,
26,-0.285,-0.175,
27,-0.255,-0.19,
28,-0.23,-0.2,
29,-0.2,-0.215,
30,-0.195,-0.21,
31,-0.16,-0.21,
32,-0.16,-0.19,
33,-0.165,-0.22,
34,-0.2,-0.225,
35,-0.2,-0.245,
36,-0.21,-0.235,
37,-0.21,-0.215,
38,-0.205,-0.225,
39,-0.21,-0.235,
40,-0.21,-0.24,
41,-0.22,-0.245,
42,-0.25,-0.225,
43,-0.25,-0.215,
44,-0.25,-0.205,
45,-0.26,-0.205,
46,-0.265,-0.205,
47,-0.275,-0.195,
48,-0.305,-0.19,
49,-0.32,-0.175,
50,-0.33,-0.18,
51,-0.32,-0.18,
52,-0.32,-0.2,
53,-0.315,-0.2,
54,-0.34,-0.185,
55,-0.35,-0.18,
56,-0.335,-0.175,
57,-0.32,-0.2,
58,-0.31,-0.2,
59,-0.335,-0.205,
60,-0.345,-0.205,
61,-0.35,-0.2,
62,-0.35,-0.195,
63,-0.355,-0.215,
64,-0.35,-0.215,
65,-0.35,-0.22,
66,-0.37,-0.215,
67,-0.36,-0.22,
68,-0.345,-0.22,
69,-0.325,-0.22,
70,-0.325,-0.22,
71,-0.335,-0.23,
72,-0.37,-0.245,
73,-0.4,-0.235,
74,-0.4,-0.23,
75,-0.395,-0.23,
76,-0.35,-0.24,
77,-0.21,-0.24,
78,-0.01,-0.24,
79,0.245,-0.245,
80,0.53,-0.25,
81,0.85,-0.285,
82,1.085,-0.315,
83,1.065,-0.375,N
84,0.815,-0.4,
85,0.48,-0.41,
86,0.21,-0.365,
87,-0.01,-0.295,
88,-0.145,-0.23,
89,-0.185,-0.2,
90,-0.24,-0.2,
91,-0.285,-0.215,
92,-0.285,-0.205,
93,-0.285,-0.195,
94,-0.29,-0.18,
95,-0.3,-0.19,
96,-0.335,-0.2,
97,-0.36,-0.2,
98,-0.36,-0.185,
99,-0.385,-0.18,
100,-0.395,-0.195,
101,-0.415,-0.21,
102,-0.43,-0.23,
103,-0.435,-0.225,
104,-0.405,-0.2,
105,-0.41,-0.205,
106,-0.405,-0.21,
107,-0.415,-0.225,
108,-0.44,-0.225,
109,-0.43,-0.21,
110,-0.415,-0.19,
111,-0.42,-0.19,
112,-0.415,-0.225,
113,-0.42,-0.23,
114,-0.43,-0.245,
115,-0.44,-0.235,
116,-0.425,-0.225,
117,-0.415,-0.225,
118,-0.425,-0.24,
119,-0.43,-0.25,
120,-0.425,-0.25,
121,-0.415,-0.23,
122,-0.42,-0.22,
123,-0.415,-0.23,
124,-0.42,-0.235,
125,-0.42,-0.24,
126,-0.435,-0.225,
127,-0.415,-0.21,
128,-0.415,-0.2,
129,-0.4,-0.185,
130,-0.395,-0.19,
131,-0.41,-0.21,
132,-0.425,-0.195,
133,-0.415,-0.18,
134,-0.405,-0.175,
135,-0.395,-0.18,
136,-0.4,-0.195,
137,-0.41,-0.2,
138,-0.42,-0.185,
139,-0.41,-0.195,
140,-0.395,-0.195,
141,-0.38,-0.21,
142,-0.39,-0.215,
143,-0.4,-0.22,
144,-0.415,-0.21,
145,-0.42,-0.205,
146,-0.385,-0.21,
147,-0.375,-0.22,
148,-0.38,-0.205,
149,-0.375,-0.215,
150,-0.365,-0.21,
151,-0.35,-0.21,
152,-0.35,-0.215,
153,-0.35,-0.22,
154,-0.34,-0.235,
155,-0.35,-0.245,
156,-0.35,-0.25,
157,-0.325,-0.255,
158,-0.32,-0.24,
159,-0.31,-0.25,
160,-0.31,-0.245,
161,-0.31,-0.24,
162,-0.305,-0.24,
163,-0.285,-0.25,
164,-0.27,-0.24,
165,-0.265,-0.245,
166,-0.265,-0.23,
167,-0.255,-0.235,
168,-0.24,-0.23,
169,-0.22,-0.225,
170,-0.21,-0.21,
171,-0.205,-0.205,
172,-0.19,-0.205,
173,-0.175,-0.2,
174,-0.175,-0.205,
175,-0.165,-0.21,
176,-0.155,-0.2,
177,-0.145,-0.2,
178,-0.13,-0.2,
179,-0.125,-0.215,
180,-0.135,-0.225,
181,-0.125,-0.225,
182,-0.11,-0.215,
183,-0.09,-0.215,
184,-0.105,-0.225,
185,-0.12,-0.24,
186,-0.12,-0.26,
187,-0.12,-0.255,
188,-0.11,-0.235,
189,-0.11,-0.23,
190,-0.13,-0.23,
191,-0.16,-0.245,
192,-0.165,-0.255,
193,-0.17,-0.24,
194,-0.17,-0.225,
195,-0.18,-0.215,
196,-0.205,-0.235,
197,-0.225,-0.26,
198,-0.235,-0.265,
199,-0.245,-0.25,
200,-0.25,-0.24,
201,-0.255,-0.235,
202,-0.265,-0.235,
203,-0.275,-0.25,
204,-0.285,-0.26,
205,-0.295,-0.245,
206,-0.29,-0.215,
207,-0.305,-0.215,
208,-0.315,-0.225,
209,-0.33,-0.25,
210,-0.34,-0.225,
211,-0.325,-0.22,
212,-0.325,-0.19,
213,-0.315,-0.185,
214,-0.31,-0.185,
215,-0.335,-0.2,
216,-0.355,-0.205,
217,-0.355,-0.19,
218,-0.365,-0.175,
219,-0.345,-0.175,
220,-0.345,-0.19,
221,-0.33,-0.205,
222,-0.35,-0.205,
223,-0.355,-0.185,
224,-0.34,-0.18,
225,-0.345,-0.195,
226,-0.345,-0.21,
227,-0.35,-0.225,
228,-0.35,-0.225,
229,-0.35,-0.2,
230,-0.345,-0.19,
231,-0.33,-0.205,
232,-0.34,-0.215,
233,-0.35,-0.22,
234,-0.36,-0.21,
235,-0.35,-0.19,
236,-0.34,-0.19,
237,-0.33,-0.215,
238,-0.32,-0.235,
239,-0.325,-0.235,
240,-0.32,-0.235,
241,-0.325,-0.205,
242,-0.32,-0.205,
243,-0.315,-0.225,
244,-0.325,-0.23,
245,-0.345,-0.24,
246,-0.35,-0.235,
247,-0.33,-0.215,
248,-0.32,-0.2,
249,-0.305,-0.22,
250,-0.305,-0.21,
251,-0.3,-0.22,
252,-0.32,-0.21,
253,-0.325,-0.195,
254,-0.325,-0.185,
255,-0.305,-0.185,
256,-0.29,-0.185,
257,-0.305,-0.2,
258,-0.32,-0.19,
259,-0.325,-0.175,
260,-0.325,-0.17,
261,-0.31,-0.185,
262,-0.31,-0.18,
263,-0.31,-0.185,
264,-0.325,-0.19,
265,-0.31,-0.175,
266,-0.31,-0.175,
267,-0.315,-0.185,
268,-0.31,-0.195,
269,-0.32,-0.21,
270,-0.33,-0.2,
271,-0.32,-0.2,
272,-0.315,-0.195,
273,-0.315,-0.215,
274,-0.315,-0.215,
275,-0.34,-0.21,
276,-0.34,-0.21,
277,-0.325,-0.2,
278,-0.31,-0.2,
279,-0.305,-0.2,
280,-0.32,-0.205,
281,-0.32,-0.22,
282,-0.33,-0.225,
283,-0.33,-0.24,
284,-0.335,-0.24,
285,-0.32,-0.235,
286,-0.32,-0.24,
